page_name,Link,Record Count
Zalando,https://www.facebook.com/ads/library/?id=1275505391093598,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1866519534007946,494
Boozt.com,https://www.facebook.com/ads/library/?id=946361275012583,494
Zalando,https://www.facebook.com/ads/library/?id=932590922732970,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1537789163965201,494
Zalando,https://www.facebook.com/ads/library/?id=1487233069638351,494
Zalando,https://www.facebook.com/ads/library/?id=26373106528958456,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1291982649154484,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1333436238447810,494
Zalando,https://www.facebook.com/ads/library/?id=1227577909269314,494
Modivo,https://www.facebook.com/ads/library/?id=941165774936250,494
Zalando,https://www.facebook.com/ads/library/?id=1400846728028547,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1293565846289244,494
Modivo,https://www.facebook.com/ads/library/?id=1526296429122550,494
Zalando,https://www.facebook.com/ads/library/?id=741785175274927,494
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=958079110052634,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1519376286282136,494
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=754272050950791,494
Zalando,https://www.facebook.com/ads/library/?id=2340263986478404,494
Boozt.com,https://www.facebook.com/ads/library/?id=1008429241937096,494
Zalando,https://www.facebook.com/ads/library/?id=1384379849820639,494
Zalando,https://www.facebook.com/ads/library/?id=1698207498286046,494
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=2094914787762581,494
Modivo,https://www.facebook.com/ads/library/?id=891627817269838,494
Modivo,https://www.facebook.com/ads/library/?id=2607796792949421,494
Zalando,https://www.facebook.com/ads/library/?id=1404289474441656,494
Zalando,https://www.facebook.com/ads/library/?id=910214098508620,494
Modivo,https://www.facebook.com/ads/library/?id=1695816021408070,494
Zalando,https://www.facebook.com/ads/library/?id=2787368148271275,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1225459392374516,494
Modivo,https://www.facebook.com/ads/library/?id=918084950981119,494
Modivo,https://www.facebook.com/ads/library/?id=983752417675614,494
Modivo,https://www.facebook.com/ads/library/?id=913390701326611,494
Ballzy Suomi,https://www.facebook.com/ads/library/?id=1479569156989909,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2075805146609583,494
Boozt.com,https://www.facebook.com/ads/library/?id=747501188232314,494
Zalando,https://www.facebook.com/ads/library/?id=1360601305314009,494
Zalando,https://www.facebook.com/ads/library/?id=1663489831749716,494
Zalando,https://www.facebook.com/ads/library/?id=918676964122307,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1276127067568891,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=972575188893376,494
Zalando,https://www.facebook.com/ads/library/?id=711568972034458,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1994236917866312,494
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=932385102846028,494
Modivo,https://www.facebook.com/ads/library/?id=1729394028041840,494
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=989982680551237,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=26522806853972516,494
Zalando,https://www.facebook.com/ads/library/?id=1428372268922820,494
Zalando,https://www.facebook.com/ads/library/?id=1400849934828550,494
Modivo,https://www.facebook.com/ads/library/?id=970514352259494,494
Modivo,https://www.facebook.com/ads/library/?id=919126957415805,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1647245940056126,494
Sportland Eesti,https://www.facebook.com/ads/library/?id=2211765582905075,494
Zalando,https://www.facebook.com/ads/library/?id=891841590395367,494
Modivo,https://www.facebook.com/ads/library/?id=25869646342655480,494
Modivo,https://www.facebook.com/ads/library/?id=1340537464666134,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2375199829595381,494
Zalando,https://www.facebook.com/ads/library/?id=2225969581224381,494
Zalando,https://www.facebook.com/ads/library/?id=914656724579541,494
Zalando,https://www.facebook.com/ads/library/?id=1193523396252450,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1297550122227683,494
Zalando,https://www.facebook.com/ads/library/?id=840990175231326,494
Zalando,https://www.facebook.com/ads/library/?id=1902307134497440,494
Zalando,https://www.facebook.com/ads/library/?id=1959931274957310,494
Boozt.com,https://www.facebook.com/ads/library/?id=1518835403161655,494
Zalando,https://www.facebook.com/ads/library/?id=3377025372444422,494
Zalando,https://www.facebook.com/ads/library/?id=1915597415712038,494
Boozt.com,https://www.facebook.com/ads/library/?id=964135796579421,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=2404855963302743,494
Zalando,https://www.facebook.com/ads/library/?id=1859128584787472,494
Zalando,https://www.facebook.com/ads/library/?id=1474817254051499,494
Zalando,https://www.facebook.com/ads/library/?id=1962959944588693,494
Modivo,https://www.facebook.com/ads/library/?id=1046152505082145,494
Modivo,https://www.facebook.com/ads/library/?id=3378701235638884,494
Ballzy Latvija,https://www.facebook.com/ads/library/?id=898543482677824,483
Modivo,https://www.facebook.com/ads/library/?id=26458467990457736,468
Zalando,https://www.facebook.com/ads/library/?id=1926074748349353,468
Zalando,https://www.facebook.com/ads/library/?id=2871890643154593,468
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=1277783457818973,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=895676503231619,468
Zalando,https://www.facebook.com/ads/library/?id=1257280809591072,468
Zalando,https://www.facebook.com/ads/library/?id=1275386184539316,468
Zalando,https://www.facebook.com/ads/library/?id=1706024480375218,468
Zalando,https://www.facebook.com/ads/library/?id=1188669136770574,468
Zalando,https://www.facebook.com/ads/library/?id=1422455522587012,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2096077270975748,468
Modivo,https://www.facebook.com/ads/library/?id=1729577691744399,468
Zalando,https://www.facebook.com/ads/library/?id=1735120964133305,468
Zalando,https://www.facebook.com/ads/library/?id=933578412420775,468
Zalando,https://www.facebook.com/ads/library/?id=1065335719182428,468
Modivo,https://www.facebook.com/ads/library/?id=3987006898257644,468
Zalando,https://www.facebook.com/ads/library/?id=1488522519366497,468
Modivo,https://www.facebook.com/ads/library/?id=3192766327590855,468
Zalando,https://www.facebook.com/ads/library/?id=1275638311110444,468
Modivo,https://www.facebook.com/ads/library/?id=1496599105355839,468
Zalando,https://www.facebook.com/ads/library/?id=1045473298059528,468
Zalando,https://www.facebook.com/ads/library/?id=2106953710146896,468
Zalando,https://www.facebook.com/ads/library/?id=926525846462913,468
Zalando,https://www.facebook.com/ads/library/?id=2100799944093170,468
Modivo,https://www.facebook.com/ads/library/?id=2089429002005155,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=26787891347467530,468
Zalando,https://www.facebook.com/ads/library/?id=2974709669529583,468
Zalando,https://www.facebook.com/ads/library/?id=2195581151016455,468
Zalando,https://www.facebook.com/ads/library/?id=2097787351155511,468
Modivo,https://www.facebook.com/ads/library/?id=1630535638096270,468
Zalando,https://www.facebook.com/ads/library/?id=919120747865348,468
Zalando,https://www.facebook.com/ads/library/?id=1445394523826118,468
Zalando,https://www.facebook.com/ads/library/?id=1773647676942450,468
Zalando,https://www.facebook.com/ads/library/?id=26418575614412544,468
Zalando,https://www.facebook.com/ads/library/?id=1189345563388475,468
Zalando,https://www.facebook.com/ads/library/?id=1438039347436079,468
Zalando,https://www.facebook.com/ads/library/?id=1436184341557052,468
Zalando,https://www.facebook.com/ads/library/?id=4121731418137562,468
Boozt.com,https://www.facebook.com/ads/library/?id=927005019718741,468
Zalando,https://www.facebook.com/ads/library/?id=1254734329453407,468
Zalando,https://www.facebook.com/ads/library/?id=1594528074914821,468
Zalando,https://www.facebook.com/ads/library/?id=758359426834255,468
Modivo,https://www.facebook.com/ads/library/?id=1346487007319371,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=1579552236590590,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1316440000445926,468
Zalando,https://www.facebook.com/ads/library/?id=1391211172051476,468
Zalando,https://www.facebook.com/ads/library/?id=1537365467528938,468
Zalando,https://www.facebook.com/ads/library/?id=1583810693302993,468
Boozt.com,https://www.facebook.com/ads/library/?id=965473743130983,468
Zalando,https://www.facebook.com/ads/library/?id=1696695901657853,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1300508782228212,468
Boozt.com,https://www.facebook.com/ads/library/?id=958102573322223,468
Zalando,https://www.facebook.com/ads/library/?id=1662609448263271,468
Boozt.com,https://www.facebook.com/ads/library/?id=1990107211587132,468
Zalando,https://www.facebook.com/ads/library/?id=884845341362603,468
Zalando,https://www.facebook.com/ads/library/?id=2412126582617806,468
Boozt.com,https://www.facebook.com/ads/library/?id=1907479866584163,468
Zalando,https://www.facebook.com/ads/library/?id=25694108940199144,468
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=1018929224419555,468
Zalando,https://www.facebook.com/ads/library/?id=902452312674891,468
Modivo,https://www.facebook.com/ads/library/?id=2385258441973903,468
Zalando,https://www.facebook.com/ads/library/?id=759806936598318,468
Zalando,https://www.facebook.com/ads/library/?id=4393579287628551,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2079611872962289,468
Zalando,https://www.facebook.com/ads/library/?id=2318900465273117,468
Modivo,https://www.facebook.com/ads/library/?id=839476075324483,468
Zalando,https://www.facebook.com/ads/library/?id=890550350107003,468
Zalando,https://www.facebook.com/ads/library/?id=1396050114842667,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1344336570842316,468
Zalando,https://www.facebook.com/ads/library/?id=3326480167529227,468
Zalando,https://www.facebook.com/ads/library/?id=1738498077111824,468
Zalando,https://www.facebook.com/ads/library/?id=1583275912943569,468
Boozt.com,https://www.facebook.com/ads/library/?id=2002499306963280,468
Zalando,https://www.facebook.com/ads/library/?id=923094270898275,468
Zalando,https://www.facebook.com/ads/library/?id=2123167838266822,468
Zalando,https://www.facebook.com/ads/library/?id=2246956072494376,468
Zalando,https://www.facebook.com/ads/library/?id=1734906241972288,468
Zalando,https://www.facebook.com/ads/library/?id=953085763717559,468
Zalando,https://www.facebook.com/ads/library/?id=2080729539411437,468
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=987519000312372,468
JD Sports,https://www.facebook.com/ads/library/?id=2539390909865097,468
Zalando,https://www.facebook.com/ads/library/?id=1575437487000891,468
Zalando,https://www.facebook.com/ads/library/?id=2548980035612398,468
Modivo,https://www.facebook.com/ads/library/?id=26722694944029916,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=967215149262453,468
Zalando,https://www.facebook.com/ads/library/?id=1623934595705981,468
Zalando,https://www.facebook.com/ads/library/?id=1223860815831951,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=904464885735225,468
Modivo,https://www.facebook.com/ads/library/?id=3836354386672791,468
Zalando,https://www.facebook.com/ads/library/?id=26123520550621940,468
Zalando,https://www.facebook.com/ads/library/?id=1280263454244974,468
Zalando,https://www.facebook.com/ads/library/?id=946983051342173,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=927175646370168,468
Zalando,https://www.facebook.com/ads/library/?id=834302389618510,468
Zalando,https://www.facebook.com/ads/library/?id=745728081519137,468
Zalando,https://www.facebook.com/ads/library/?id=1561892095069762,468
Zalando,https://www.facebook.com/ads/library/?id=969985395157593,468
Zalando,https://www.facebook.com/ads/library/?id=982025227204310,468
Boozt.com,https://www.facebook.com/ads/library/?id=26158357313816016,468
Zalando,https://www.facebook.com/ads/library/?id=1947278099157094,468
Zalando,https://www.facebook.com/ads/library/?id=1932080610815160,468
Zalando,https://www.facebook.com/ads/library/?id=1213995550687062,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=916896244065116,468
Zalando,https://www.facebook.com/ads/library/?id=1750185059309590,468
Zalando,https://www.facebook.com/ads/library/?id=1682620953117116,468
Zalando,https://www.facebook.com/ads/library/?id=905156155408062,468
Zalando,https://www.facebook.com/ads/library/?id=28003609725911710,468
Zalando,https://www.facebook.com/ads/library/?id=1202123665341726,468
Zalando,https://www.facebook.com/ads/library/?id=1706779300508147,468
Zalando,https://www.facebook.com/ads/library/?id=1751517869305354,468
Zalando,https://www.facebook.com/ads/library/?id=1175234288012182,468
Zalando,https://www.facebook.com/ads/library/?id=1214384816886980,468
Zalando,https://www.facebook.com/ads/library/?id=1018031321114350,468
Zalando,https://www.facebook.com/ads/library/?id=1076936204403135,468
Zalando,https://www.facebook.com/ads/library/?id=1700305814682475,468
ABOUT YOU,https://www.facebook.com/ads/library/?id=4301199780131456,468
Zalando,https://www.facebook.com/ads/library/?id=1790352754986263,468
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=2249336395838384,468
Zalando,https://www.facebook.com/ads/library/?id=1491594959276435,468
Ballzy Basketball,https://www.facebook.com/ads/library/?id=2224129378328335,468
Zalando,https://www.facebook.com/ads/library/?id=1446392230512751,468
Zalando,https://www.facebook.com/ads/library/?id=2743700285963792,468
Zalando,https://www.facebook.com/ads/library/?id=2173591226895336,468
Zalando,https://www.facebook.com/ads/library/?id=1395596941962125,468
Modivo,https://www.facebook.com/ads/library/?id=820054651149526,468
Zalando,https://www.facebook.com/ads/library/?id=1604525600583513,468
Zalando,https://www.facebook.com/ads/library/?id=926543313313053,468
Zalando,https://www.facebook.com/ads/library/?id=901391199480948,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=838247418674380,468
Modivo,https://www.facebook.com/ads/library/?id=2163534704477464,468
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2114379359109117,468
Zalando,https://www.facebook.com/ads/library/?id=1325334066068864,468
Zalando,https://www.facebook.com/ads/library/?id=1303552581564467,468
Modivo,https://www.facebook.com/ads/library/?id=1492774032568288,468
SNYKS,https://www.facebook.com/ads/library/?id=1383057470167886,468
Zalando,https://www.facebook.com/ads/library/?id=1713686366450646,468
